source,relation,target,confidence,evidence
AI大模型赋能,belongs_to,综合管理,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
井下主运输系统（带式输送机）,belongs_to,运输场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
井下人员定位与管理,belongs_to,人员管理,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
井下辅助运输,belongs_to,运输场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
地质保障与三维建模,belongs_to,地质保障,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
大型固定设备运维（主提升/主排水/压风等）,belongs_to,设备运维,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
掘进工作面,belongs_to,采掘场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
水害防治,belongs_to,安全监控,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
火灾与防灭火,belongs_to,安全监控,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
瓦斯监测监控,belongs_to,安全监控,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
矿井供电系统,belongs_to,供电保障,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
矿井通信网络,belongs_to,通信与信息化,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
矿井通风系统,belongs_to,通风场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
矿山综合管控平台,belongs_to,综合管理,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
穿爆作业（露天矿）,belongs_to,采掘场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
综采工作面,belongs_to,采掘场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
绿色低碳与环保,belongs_to,综合管理,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
选矿/洗煤生产,belongs_to,选矿加工,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
露天矿卡车运输,belongs_to,运输场景,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
顶板与矿压监测,belongs_to,安全监控,0.96,"{""source_id"": ""U01"", ""field"": ""场景大类""}"
AI大模型赋能,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""AI大模型赋能""}"
AI大模型赋能,evidenced_by,《中央企业AI应用场景白皮书》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""AI大模型赋能""}"
AI大模型赋能,evidenced_by,华为《矿山智能化白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""AI大模型赋能""}"
井下主运输系统（带式输送机）,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下主运输系统（带式输送机）,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下主运输系统（带式输送机）,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下人员定位与管理,evidenced_by,《中国智能矿山产业发展白皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下人员定位与管理""}"
井下人员定位与管理,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下人员定位与管理""}"
井下人员定位与管理,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下人员定位与管理""}"
井下辅助运输,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下辅助运输""}"
井下辅助运输,evidenced_by,中国电信《5G智慧矿山融合方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下辅助运输""}"
井下辅助运输,evidenced_by,华为《矿山智能化白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""井下辅助运输""}"
地质保障与三维建模,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""地质保障与三维建模""}"
地质保障与三维建模,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""地质保障与三维建模""}"
地质保障与三维建模,evidenced_by,《金属矿山数字化转型白皮书》(华为),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""地质保障与三维建模""}"
大型固定设备运维（主提升/主排水/压风等）,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
大型固定设备运维（主提升/主排水/压风等）,evidenced_by,ABB《Next Level Mining》白皮书,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
大型固定设备运维（主提升/主排水/压风等）,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
掘进工作面,evidenced_by,华为《矿山智能化白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""掘进工作面""}"
掘进工作面,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""掘进工作面""}"
掘进工作面,evidenced_by,《金属矿山数字化转型白皮书》(华为),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""掘进工作面""}"
水害防治,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""水害防治""}"
水害防治,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""水害防治""}"
水害防治,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""水害防治""}"
火灾与防灭火,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""火灾与防灭火""}"
火灾与防灭火,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""火灾与防灭火""}"
瓦斯监测监控,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""瓦斯监测监控""}"
瓦斯监测监控,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""瓦斯监测监控""}"
瓦斯监测监控,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""瓦斯监测监控""}"
矿井供电系统,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井供电系统""}"
矿井供电系统,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井供电系统""}"
矿井通信网络,evidenced_by,中国电信《5G智慧矿山终端融合白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井通信网络""}"
矿井通信网络,evidenced_by,中国电信《5G智慧矿山融合方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井通信网络""}"
矿井通信网络,evidenced_by,华为《矿山智能化白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井通信网络""}"
矿井通风系统,evidenced_by,《中国智能矿山产业发展白皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井通风系统""}"
矿井通风系统,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井通风系统""}"
矿井通风系统,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿井通风系统""}"
矿山综合管控平台,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿山综合管控平台""}"
矿山综合管控平台,evidenced_by,《中国智能矿山产业发展白皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿山综合管控平台""}"
矿山综合管控平台,evidenced_by,华为《矿山智能化白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""矿山综合管控平台""}"
穿爆作业（露天矿）,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""穿爆作业（露天矿）""}"
穿爆作业（露天矿）,evidenced_by,《中国智能矿山产业发展白皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""穿爆作业（露天矿）""}"
综采工作面,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""综采工作面""}"
综采工作面,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""综采工作面""}"
综采工作面,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""综采工作面""}"
绿色低碳与环保,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""绿色低碳与环保""}"
绿色低碳与环保,evidenced_by,FARO《Mapping the Underground World》白皮书,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""绿色低碳与环保""}"
绿色低碳与环保,evidenced_by,《中国智能矿山产业发展白皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""绿色低碳与环保""}"
选矿/洗煤生产,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""选矿/洗煤生产""}"
选矿/洗煤生产,evidenced_by,《中国智能矿山产业发展白皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""选矿/洗煤生产""}"
选矿/洗煤生产,evidenced_by,《金属矿山数字化转型白皮书》(华为),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""选矿/洗煤生产""}"
露天矿卡车运输,evidenced_by,《2024智能矿山暨无人驾驶行业蓝皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""露天矿卡车运输""}"
露天矿卡车运输,evidenced_by,《2025智能矿山暨无人驾驶行业蓝皮书》(亿欧智库),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""露天矿卡车运输""}"
露天矿卡车运输,evidenced_by,《中央企业AI应用场景白皮书》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""露天矿卡车运输""}"
顶板与矿压监测,evidenced_by,《2026年AI+智慧矿山全场景应用解决方案白皮书》,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""顶板与矿压监测""}"
顶板与矿压监测,evidenced_by,国家能源局《煤矿智能化标准体系建设指南》(2024),0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""顶板与矿压监测""}"
顶板与矿压监测,evidenced_by,《煤矿智能化发展蓝皮书》2025,0.9,"{""source_id"": ""U01"", ""field"": ""参考白皮书来源"", ""scene"": ""顶板与矿压监测""}"
AI大模型赋能,has_pain_point,AI工业机理模型与矿山专业知识结合不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""AI大模型赋能""}"
AI大模型赋能,has_pain_point,各场景AI模型重复开发、通用性差,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""AI大模型赋能""}"
AI大模型赋能,has_pain_point,数据标注与训练样本积累不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""AI大模型赋能""}"
AI大模型赋能,has_pain_point,矿山专业AI算法开发门槛高、周期长,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""AI大模型赋能""}"
AI大模型赋能,has_pain_point,缺乏统一的AI开发与部署平台,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""AI大模型赋能""}"
井下主运输系统（带式输送机）,has_pain_point,多台皮带机联动控制效率低，空载率高,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下主运输系统（带式输送机）,has_pain_point,大倾角/弯曲运输工况适应性差,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下主运输系统（带式输送机）,has_pain_point,煤流分布不均导致运力浪费,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下主运输系统（带式输送机）,has_pain_point,输送带跑偏、撕裂、断带等故障频发,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下主运输系统（带式输送机）,has_pain_point,输送机沿线巡检依赖人工，劳动强度大,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下主运输系统（带式输送机）""}"
井下人员定位与管理,has_pain_point,人员入井/升井管理依赖人工,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下人员定位与管理""}"
井下人员定位与管理,has_pain_point,传统定位精度低（区域级），无法精确到人,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下人员定位与管理""}"
井下人员定位与管理,has_pain_point,灾变时人员搜救定位不准,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下人员定位与管理""}"
井下人员定位与管理,has_pain_point,特殊岗位人员在岗状态不明,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下人员定位与管理""}"
井下人员定位与管理,has_pain_point,限员管理困难，超员风险高,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下人员定位与管理""}"
井下辅助运输,has_pain_point,井下道路狭窄、交叉点多，运输安全隐患大,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下辅助运输""}"
井下辅助运输,has_pain_point,新能源车辆充电管理困难,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下辅助运输""}"
井下辅助运输,has_pain_point,无轨胶轮车/电机车调度依赖人工，效率低,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下辅助运输""}"
井下辅助运输,has_pain_point,物料/人员运输缺乏统一调度,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下辅助运输""}"
井下辅助运输,has_pain_point,车辆超速、违规驾驶难以实时管控,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""井下辅助运输""}"
地质保障与三维建模,has_pain_point,地质构造探查精度不够，前方隐伏构造难发现,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""地质保障与三维建模""}"
地质保障与三维建模,has_pain_point,地质模型更新滞后，与实际偏差大,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""地质保障与三维建模""}"
地质保障与三维建模,has_pain_point,多源地质数据融合分析能力弱,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""地质保障与三维建模""}"
